Currency,How old are you?,total_comp_usd
AUD/NZD,18-24,141341.12
AUD/NZD,25-34,150702.07
AUD/NZD,35-44,210100.0975
AUD/NZD,45-54,277584.6866666667
CAD,18-24,98785.39
CAD,25-34,82272.85274999999
CAD,35-44,96522.92365853659
CAD,45-54,144333.149
CAD,55-64,100323.37
CHF,25-34,119041.1625
CHF,35-44,149140.40999999997
CHF,45-54,130158.9
EUR,25-34,62715.125714285714
EUR,35-44,93026.23838709676
EUR,45-54,78882.31
EUR,55-64,60081.29
GBP,18-24,34443.05
GBP,25-34,41682.808627450984
GBP,35-44,54667.16541666666
GBP,45-54,51367.223333333335
GBP,55-64,54698.715
SEK,25-34,63366.58
SEK,35-44,86875.24
USD,18-24,118305.88607594937
USD,25-34,166212.6684397163
USD,35-44,182747.92255125285
USD,45-54,176631.23140495867
USD,55-64,164576.66666666666
USD,65 or over,151333.33333333334
USD,under 18,34320.0
